"","CustomerID","Age","CommuteTime","EducationYears","EmploymentLength","Gender","HouseholdSize","JobCategory","MaritalStatus","PoliticalPartyMem","Retired","TownSize","UnionMember","CardItemsMonthly","CardSpendMonth","CardTenure","CreditDebt","DebtToIncomeRatio","HHIncome","LoanDefault","OtherDebt","CarBrand","CarOwnership","CarsOwned","CarValue","HomeOwner","Internet","NumberBirds","NumberCats","NumberDogs","NumberPets","OwnsFax","OwnsGameSystem","OwnsMobileDevice","OwnsPC","ActiveLifestyle","NewsSubscriber","TVWatchingHours","Votes","CallerID","CallForward","CallingCard","CallWait","DataLastMonth","DataOverTenure","EquipmentLastMonth","EquipmentOverTenure","EquipmentRental","Multiline","Pager","PhoneCoTenure","Region","ThreeWayCalling","VM","VoiceLastMonth","VoiceOverTenure","WirelessData","CreditCard","EBilling","TotalDebt","AvgCardSpendMonth","AvgValuePerCar","TechOwnership","NumAddOns","CardSpendMonthScaled","DataOverTenureScaled","VoiceOverTenureScaled","HHIncomeScaled","CarValueScaled"
"11","5621-QSZPSF-NF2",59,17,19,8,"Female",1,"Professional","Unmarried","No","No",1,"No",11,4889.7,16,1.358112,8.6,47000,"No",2.683888,"Domestic","Own",3,28000,"No",3,0,3,0,7,"No","No","Yes","Yes","No","No",26,"Yes","No","No","Yes","Yes",0,0,31.2,1568.35,"Yes","Yes","No",50,4,"No","No",25.65,446.55,"No","Disc","Yes",4.042,444.518181818182,9333.33333333333,2,1,0.617984437888801,-0.421561662771884,-0.267472948841107,-0.14012186243709,0.106529059887512
"12","8241-PWPONH-62O",33,28,8,4,"Female",5,"Sales","Married","No","No",4,"No",14,3382.6,6,0.130131,0.9,19000,"No",0.040869,"Foreign","Own",2,9300,"No",0,0,0,0,6,"No","No","No","No","No","No",27,"No","No","No","No","No",0,0,0,0,"No","No","No",9,2,"No","No",10.8,37,"No","Mast","No",0.171,241.614285714286,4650,0,0,0.00238843011676911,-0.421561662771884,-0.685743431557788,-0.645742274344729,-0.845328058542238
"13","8795-FYOXCT-P09",44,25,10,12,"Male",1,"Professional","Unmarried","Yes","No",2,"No",12,5343.6,1,1.250928,2.8,73000,"No",0.793072,"Foreign","Own",1,38500,"Yes",1,0,0,1,1,"No","No","No","Yes","No","No",21,"Yes","Yes","Yes","Yes","Yes",0,0,0,0,"No","No","No",5,5,"Yes","No",20.25,29.9,"No","Disc","No",2.044,445.3,38500,1,1,0.803386221398671,-0.421561662771884,-0.69299461072343,0.329382805762861,0.640994286813307
"14","1705-NMIQNO-IC4",58,16,18,3,"Male",1,"Professional","Unmarried","No","No",2,"No",10,5935,25,1.924965,10.5,63000,"No",4.690035,"Domestic","Own",0,25907.1507883633,"Yes",0,0,0,0,0,"No","No","No","Yes","Yes","Yes",21,"Yes","Yes","Yes","Yes","No",0,0,0,0,"No","Yes","No",58,3,"Yes","No",36.3,680.75,"No","Disc","No",6.615,593.5,Inf,1,2,1.04495179700505,-0.421561662771884,-0.0282861656589641,0.148804087224418,0
"15","9205-PAZEXY-90Q",72,32,20,27,"Female",2,"Agriculture","Married","Yes","Yes",1,"Yes",12,2331.7,33,1.276156,9.8,17000,"No",0.389844,"Foreign","Own",1,9300,"Yes",0,0,0,0,0,"Yes","Yes","No","Yes","Yes","Yes",24,"Yes","No","Yes","Yes","No",0,0,38.55,2580.75,"Yes","Yes","No",67,2,"No","No",41.7,954.05,"No","Mast","Yes",1.666,194.308333333333,9300,3,1,-0.426866327077596,-0.421561662771884,0.250833167576218,-0.681858018052417,-0.845328058542238
"16","4225-PZZDIY-IBH",66,14,13,31,"Female",2,"Labor","Married","Yes","Yes",1,"Yes",9,2974.7,40,0.934743,9.3,23000,"No",1.204257,"Domestic","Own",3,11600,"No",1,0,3,0,9,"Yes","No","No","Yes","No","Yes",22,"Yes","Yes","Yes","Yes","Yes",43.25,3159.25,0,0,"No","Yes","Yes",72,3,"Yes","Yes",116.1,2854.9,"Yes","Mast","No",2.139,330.522222222222,3866.66666666667,2,4,-0.164224012037177,2.73452188044566,2.19215766292966,-0.573510786929352,-0.728254723120397
"17","0758-EQEGIQ-3OF",57,19,17,24,"Female",3,"Agriculture","Married","Yes","No",1,"No",14,3059.4,19,1.803195,9.5,171000,"No",14.441805,"Foreign","Own",2,75800,"Yes",3,0,0,1,1,"Yes","Yes","Yes","Yes","Yes","No",17,"No","Yes","No","Yes","Yes",40.2,1840.45,43.15,1990.25,"Yes","No","Yes",48,1,"Yes","Yes",12.45,214.85,"Yes","Disc","Yes",16.245,218.528571428571,37900,4,3,-0.129627116105725,1.41704368885104,-0.504106499922673,2.0990542474396,2.53961837865446
"18","0649-TBFJFL-QU4",63,29,14,29,"Male",2,"Labor","Married","No","No",2,"Yes",10,4957.5,36,13.111352,10.7,424000,"No",32.256648,"Domestic","Own",3,88600,"Yes",0,0,0,0,0,"No","No","No","No","No","Yes",24,"Yes","Yes","Yes","Yes","No",0,0,0,0,"No","Yes","No",70,5,"Yes","Yes",104.4,2540.15,"No","Mast","Yes",45.368,495.75,29533.3333333333,0,3,0.645678293191663,-0.421561662771884,1.8707057414669,6.66769582646219,3.1911569410021
"19","2228-KOLOPU-FY3",28,30,11,4,"Female",3,"Professional","Married","Yes","No",5,"No",17,4420.9,10,0.190992,4.8,23000,"No",0.913008,"Domestic","Own",0,25907.1507883633,"Yes",0,0,1,0,10,"No","No","No","No","Yes","No",16,"No","Yes","Yes","Yes","Yes",0,0,0,0,"No","No","No",34,5,"Yes","No",10.35,110.45,"No","Visa","No",1.104,260.052941176471,Inf,0,1,0.426496541635381,-0.421561662771884,-0.610729472442808,-0.573510786929352,0
"20","3853-NVDCOJ-TIN",78,23,16,10,"Female",1,"Professional","Unmarried","No","Yes",1,"No",1,81.1,10,0.692208,15.2,22000,"No",2.651792,"Foreign","Own",2,10800,"No",1,0,0,0,0,"No","No","Yes","Yes","Yes","No",22,"No","No","No","Yes","No",0,0,24.85,341.75,"Yes","Yes","No",14,1,"No","No",21.9,85.6,"No","Visa","Yes",3.344,81.1,5400,2,1,-1.34615527611332,-0.421561662771884,-0.636108599522553,-0.591568658783196,-0.768975883267124
"21","0765-UXAFYM-PDR",61,34,16,4,"Male",2,"Professional","Married","No","No",3,"No",8,2719.8,27,1.233715,10.1,35000,"No",2.301285,"Domestic","Lease",4,9400,"No",1,0,0,0,0,"No","Yes","Yes","Yes","No","No",25,"No","Yes","Yes","Yes","Yes",0,0,0,0,"No","No","No",53,3,"Yes","Yes",33.6,567.05,"No","AMEX","No",3.535,339.975,2350,3,2,-0.268341470985548,-0.421561662771884,-0.14440716159325,-0.356816324683221,-0.840237913523897
"22","9937-SFPLRK-H9Y",70,29,17,2,"Male",2,"Sales","Married","Yes","No",4,"Yes",8,2677.1,26,1.195236,9.3,28000,"No",1.408764,"Domestic","Own",5,15700,"No",3,1,0,0,9,"No","Yes","No","Yes","Yes","No",21,"Yes","No","No","Yes","Yes",0,0,0,0,"No","Yes","Yes",59,2,"Yes","No",42.75,805.8,"No","AMEX","No",2.604,334.6375,3140,2,3,-0.285782881331156,-0.421561662771884,0.0994265040119453,-0.483221427660131,-0.51955877736842
"23","0712-WQXYVV-HUP",61,25,14,18,"Male",1,"Labor","Unmarried","Yes","Yes",1,"No",10,2450.3,24,0.56502,21.5,12000,"No",2.01498,"Domestic","Own",3,5800,"Yes",3,0,0,0,0,"No","Yes","No","Yes","No","No",13,"No","No","No","Yes","Yes",0,0,29.1,1790.8,"Yes","No","No",61,4,"No","No",25.05,476.95,"No","AMEX","No",2.58,245.03,1933.33333333333,2,0,-0.378422503494713,-0.421561662771884,-0.236425646498079,-0.772147377321639,-1.02348313418417
"24","6441-FJUWZQ-7G8",37,29,11,2,"Male",1,"Professional","Unmarried","No","No",4,"Yes",17,5566.1,12,3.319137,15.7,29000,"Yes",1.233863,"Domestic","Own",0,25907.1507883633,"No",4,0,0,0,0,"No","Yes","Yes","Yes","Yes","Yes",21,"No","Yes","Yes","Yes","Yes",31.5,1199.2,43.5,1663.95,"Yes","Yes","Yes",39,3,"Yes","Yes",39.3,504.45,"Yes","Othe","Yes",4.553,327.417647058824,Inf,3,4,0.894269448609392,0.776436401650521,-0.208340093391722,-0.465163555806286,0
"25","7634-AVNEXZ-7AG",39,32,12,5,"Male",4,"Professional","Married","Yes","No",3,"No",12,4537.4,2,4.68611,11.3,130000,"No",10.00389,"Domestic","Own",2,49200,"Yes",1,0,0,0,5,"No","No","Yes","Yes","No","No",32,"Yes","Yes","Yes","Yes","No",0,0,0,0,"No","No","No",6,1,"Yes","No",4.5,11.15,"No","Disc","No",14.69,378.116666666667,24600,2,1,0.474082590938972,-0.421561662771884,-0.712143851477765,1.35868150143198,1.18563980377578
"26","2041-PNMGHX-TXJ",73,27,14,28,"Female",2,"Service","Married","No","Yes",3,"No",6,2126.7,32,1.164168,14.8,69000,"No",9.047832,"Foreign","Own",1,22800,"No",2,0,0,0,0,"No","Yes","Yes","Yes","No","Yes",22,"No","Yes","Yes","Yes","Yes",53.2,3245.6,47.15,2874.15,"Yes","Yes","Yes",62,4,"Yes","Yes",76.35,1565.6,"Yes","Visa","Yes",10.212,354.45,22800,3,4,-0.510601435294215,2.82078533346674,0.875404804019599,0.257151318347484,-0.158158481066215
"27","4626-BQZAUJ-V9K",26,27,16,0,"Female",6,"Sales","Married","Yes","No",4,"No",14,4476.7,8,1.297296,11.7,24000,"Yes",1.510704,"Domestic","Lease",4,9800,"No",4,0,0,1,1,"Yes","Yes","Yes","Yes","Yes","No",17,"No","No","No","Yes","No",0,0,27.05,728.55,"Yes","Yes","No",26,5,"No","No",17.4,149.4,"No","Disc","Yes",2.808,319.764285714286,2450,4,1,0.449288829628002,-0.421561662771884,-0.570950116315804,-0.555452915075508,-0.819877333450533
"28","2969-ODPCDX-5DC",24,14,17,1,"Female",1,"Labor","Unmarried","No","No",1,"No",11,2799.5,5,1.39258,14,29000,"Yes",2.66742,"Domestic","Own",0,25907.1507883633,"Yes",0,0,0,1,12,"No","Yes","Yes","No","Yes","No",13,"Yes","No","No","No","No",0,0,19.65,172.75,"Yes","No","No",11,2,"No","No",11.85,42.4,"No","Disc","No",4.06,254.5,Inf,2,0,-0.235786894766697,-0.421561662771884,-0.68022845022054,-0.465163555806286,0
"29","4974-FUBHDF-Z7L",77,21,15,26,"Female",1,"Professional","Unmarried","Yes","Yes",1,"No",10,1949.5,39,0.255816,10.2,11000,"No",0.866184,"Domestic","Own",2,3100,"Yes",0,0,0,2,2,"No","No","No","No","Yes","Yes",23,"No","Yes","No","Yes","Yes",0,0,0,0,"No","Yes","No",72,3,"No","No",268.35,6495.7,"No","Visa","No",1.122,194.95,1550,0,1,-0.582981245908776,-0.421561662771884,5.91048063564336,-0.790205249175483,-1.16091704967937
"30","2525-OSULNV-0KS",36,24,19,3,"Male",1,"Professional","Unmarried","Yes","No",3,"Yes",11,3009.7,10,0.41385,15.5,30000,"No",4.23615,"Domestic","Own",3,13100,"Yes",2,0,0,0,7,"No","Yes","Yes","Yes","No","No",15,"Yes","No","No","No","No",0,0,0,0,"No","No","No",37,5,"No","No",20.1,233.85,"No","AMEX","No",4.65,273.609090909091,4366.66666666667,3,0,-0.149927774048974,-0.421561662771884,-0.48470193595828,-0.447105683952442,-0.651902547845283
"31","4973-FHPBZQ-AAA",55,25,14,23,"Male",1,"Service","Unmarried","No","No",5,"No",11,3940.2,21,0.0312,6.5,80000,"No",5.1688,"Domestic","Own",4,35000,"Yes",0,0,2,0,9,"No","Yes","No","Yes","No","Yes",25,"No","No","Yes","Yes","No",0,0,0,0,"No","No","No",47,3,"Yes","No",36.75,524.4,"No","Visa","No",5.2,358.2,8750,2,1,0.230147924465973,-0.421561662771884,-0.18796530122911,0.45578790873977,0.462839211171375
"32","4726-RQKGNB-WAK",60,26,18,13,"Female",2,"Professional","Married","Yes","No",2,"No",9,1124.7,38,1.209312,7.8,51000,"No",2.768688,"Domestic","Own",2,25200,"No",4,0,2,0,2,"Yes","Yes","Yes","Yes","Yes","Yes",20,"No","No","Yes","Yes","No",55.8,3819.5,55.15,4064.25,"Yes","Yes","Yes",71,2,"No","Yes",109.05,2586.85,"Yes","Disc","Yes",3.978,124.966666666667,12600,4,3,-0.919882305699348,3.39411012430398,1.91840011710569,-0.0678903750217128,-0.0359950006260336
"33","6592-QBSENI-6Y4",59,15,8,4,"Female",4,"Sales","Married","Yes","No",1,"Yes",11,3421.7,2,0.26292,2.8,30000,"No",0.57708,"Domestic","Own",0,25907.1507883633,"No",0,0,0,1,1,"No","No","No","No","No","No",29,"No","Yes","Yes","Yes","Yes",0,0,0,0,"No","No","No",3,1,"Yes","No",16.5,19.35,"No","Visa","No",0.84,311.063636363636,Inf,0,1,0.0183593702693047,-0.421561662771884,-0.703769250187869,-0.447105683952442,0
"34","5538-DRGHIE-PF0",28,23,11,1,"Male",6,"Sales","Married","Yes","No",1,"Yes",10,3811.4,7,0.150552,8.2,17000,"Yes",1.243448,"Domestic","Own",3,8200,"No",0,0,1,0,1,"No","Yes","No","No","Yes","No",30,"Yes","No","Yes","No","No",0,0,0,0,"No","No","No",16,1,"No","No",23.55,116.3,"No","Mast","No",1.394,381.14,2733.33333333333,1,0,0.177537768669385,-0.421561662771884,-0.604754909327456,-0.681858018052417,-0.901319653743988
"35","3550-PQUPPM-42T",53,23,20,11,"Male",3,"Sales","Married","Yes","No",3,"No",11,4459,13,9.589833,9.9,141000,"No",4.369167,"Domestic","Own",0,25907.1507883633,"Yes",3,0,0,1,1,"Yes","Yes","Yes","Yes","No","No",10,"Yes","Yes","Yes","Yes","Yes",61.25,2209.2,49.25,1693.6,"Yes","Yes","Yes",36,3,"Yes","Yes",10.2,122,"Yes","Disc","Yes",13.959,405.363636363636,Inf,4,4,0.442059017845397,1.78542409767006,-0.598933540138138,1.55731809182427,0
"36","9809-NBCXAS-1RB",36,26,12,5,"Male",2,"Sales","Unmarried","Yes","No",5,"No",13,4611.5,13,0.88893,8.3,45000,"Yes",2.84607,"Domestic","Own",3,21200,"No",3,3,0,0,3,"No","Yes","Yes","Yes","No","No",29,"Yes","No","No","No","No",0,0,27.4,1123.6,"Yes","Yes","No",38,4,"No","No",20.25,244.7,"No","Disc","Yes",3.735,354.730769230769,7066.66666666667,3,1,0.504349769079711,-0.421561662771884,-0.473620908641772,-0.176237606144778,-0.23960080135967
"37","8733-EDAXNE-8DV",47,21,20,17,"Male",2,"Crafts","Married","No","No",1,"No",8,4161.2,29,3.303344,13.7,137000,"No",15.465656,"Foreign","Own",1,78100,"Yes",3,0,2,0,2,"No","Yes","Yes","Yes","No","Yes",22,"Yes","No","No","Yes","Yes",36.45,2475.25,44.85,2973,"Yes","Yes","Yes",69,3,"No","Yes",66.15,1473.3,"Yes","AMEX","Yes",18.769,520.15,78100,3,3,0.320418455762913,2.05120744076511,0.78113947486626,1.48508660440889,2.65669171407631
"38","8170-YHWTSQ-825",75,24,11,2,"Male",1,"Sales","Unmarried","No","Yes",2,"No",17,1972.7,23,0.03888,2.4,10000,"No",0.20112,"Domestic","Own",1,4900,"No",0,0,1,0,1,"No","No","No","Yes","No","Yes",21,"No","Yes","Yes","Yes","Yes",0,0,0,0,"No","No","No",46,5,"Yes","No",59.4,884.75,"No","Disc","No",0.24,116.041176470588,4900,1,1,-0.57350488244231,-0.421561662771884,0.180057573748197,-0.808263121029327,-1.06929443934924
"39","1144-GVCZDP-8DV",49,19,22,3,"Female",5,"Professional","Married","No","No",3,"Yes",4,782.2,13,1.437224,9.2,73000,"No",5.278776,"Foreign","Own",1,33900,"Yes",4,0,2,0,13,"Yes","Yes","Yes","Yes","Yes","No",22,"Yes","No","No","No","No",62.3,1879.25,57.25,1740.25,"Yes","Yes","Yes",31,2,"No","Yes",21,238,"Yes","Disc","Yes",6.716,195.55,33900,4,3,-1.05978120601248,1.4558048003417,-0.480463570671321,0.329382805762861,0.406847615969625
"40","8846-JJEGFU-I69",59,16,13,15,"Female",1,"Professional","Unmarried","Yes","No",1,"No",9,2835.9,13,0.59346,6,63000,"No",3.18654,"Domestic","Own",1,36200,"No",2,0,0,0,0,"Yes","Yes","Yes","Yes","No","No",13,"No","Yes","Yes","Yes","Yes",19.35,764.35,0,0,"No","No","No",41,1,"Yes","No",39,479,"Yes","Disc","No",3.78,315.1,36200,4,1,-0.220918807258966,0.342022243616763,-0.234331996175605,0.148804087224418,0.523920951391466
"41","4226-TEHKPJ-GKG",55,21,12,10,"Female",3,"Service","Married","Yes","No",2,"No",11,5011.1,22,1.0863,5.1,50000,"No",1.4637,"Domestic","Own",2,31800,"Yes",0,0,0,0,0,"No","No","No","No","No","Yes",29,"No","Yes","Yes","Yes","Yes",0,0,0,0,"No","No","No",49,1,"Yes","Yes",27.9,465.5,"No","AMEX","No",2.55,455.554545454545,15900,0,2,0.66757196051074,-0.421561662771884,-0.248119449518726,-0.0859482468755571,0.299954570584466
"42","9714-LCYJJB-SCS",25,15,14,1,"Male",5,"Professional","Unmarried","No","No",2,"No",11,3919.7,7,1.218,10.5,50000,"Yes",4.032,"Domestic","Own",0,25907.1507883633,"No",2,0,0,1,1,"No","Yes","No","Yes","Yes","Yes",22,"Yes","No","No","Yes","No",0,0,29.75,1319.5,"Yes","Yes","No",46,5,"No","Yes",43.35,659.35,"No","Disc","No",5.25,356.336363636364,Inf,2,2,0.221774413644311,-0.421561662771884,-0.0501418324399114,-0.0859482468755571,0
"43","2866-TTOTKL-TA7",78,34,11,30,"Male",2,"Service","Married","No","Yes",4,"No",5,1637.2,14,1.635424,9.8,28000,"No",1.108576,"Domestic","Own",2,15800,"No",0,0,0,0,9,"No","No","No","No","No","Yes",20,"Yes","No","No","Yes","No",0,0,0,0,"No","No","No",31,5,"No","No",15,133.35,"No","Visa","No",2.744,327.44,7900,0,0,-0.710544535157801,-0.421561662771884,-0.587341866401514,-0.483221427660131,-0.514468632350079
"44","7217-UECHSF-PCR",48,23,11,2,"Female",2,"Sales","Unmarried","No","No",1,"No",11,2680.9,11,2.051577,18.7,23000,"Yes",2.249423,"Domestic","Own",2,9300,"Yes",1,0,0,0,9,"No","No","No","Yes","Yes","No",28,"No","Yes","Yes","Yes","Yes",19.7,387.9,0,0,"No","No","No",23,1,"Yes","No",19.5,169.8,"Yes","Othe","No",4.301,243.718181818182,4650,1,1,-0.28423071834958,-0.034050447637252,-0.550115742375087,-0.573510786929352,-0.845328058542238
"45","0197-AMEAYR-851",47,22,19,1,"Male",2,"Sales","Married","No","No",1,"No",14,3336.8,15,0.1023,2.2,75000,"No",1.5477,"Foreign","Own",1,46100,"No",0,0,0,0,6,"No","No","Yes","Yes","No","No",19,"Yes","No","No","Yes","No",0,0,26.35,516.3,"Yes","No","No",21,5,"No","No",18.45,141.25,"No","AMEX","Yes",1.65,238.342857142857,46100,2,0,-0.016319218450651,-0.421561662771884,-0.579273652963688,0.365498549470549,1.02784530820722
"46","1743-WAHPKT-DNW",75,20,10,11,"Male",2,"Sales","Married","Yes","No",1,"No",10,4535.2,3,0.394548,3.3,28000,"No",0.529452,"Domestic","Own",1,13800,"Yes",0,0,0,0,0,"No","No","No","No","No","No",12,"No","No","No","No","Yes",0,0,0,0,"No","No","No",16,5,"No","No",12.9,75,"No","AMEX","No",0.924,453.52,13800,0,0,0.473183970265428,-0.421561662771884,-0.646934303629004,-0.483221427660131,-0.616271532716897
"47","9840-VEWFQZ-W5V",43,22,19,4,"Female",2,"Sales","Married","Yes","No",1,"No",14,2724.4,9,2.116422,12.6,33000,"No",2.041578,"Foreign","Own",1,17200,"Yes",0,0,0,0,5,"No","Yes","No","No","Yes","No",18,"Yes","No","No","No","No",0,0,0,0,"No","No","No",27,3,"No","No",19.95,201.55,"No","Disc","No",4.158,194.6,17200,1,0,-0.266462536849956,-0.421561662771884,-0.517689694697747,-0.392932068390909,-0.443206602093306
"48","6203-JLXPIJ-YQZ",45,39,10,15,"Male",5,"Labor","Married","Yes","No",5,"No",9,2837.2,27,0.98736,13.6,44000,"No",4.99664,"Foreign","Own",1,30900,"Yes",0,0,1,0,1,"No","No","No","No","Yes","No",13,"No","No","No","Yes","No",0,0,0,0,"No","Yes","No",62,5,"No","No",48.45,1016.85,"No","Mast","No",5.984,315.244444444444,30900,0,1,-0.220387804133689,-0.421561662771884,0.314970357942737,-0.194295477998623,0.254143265419398
"49","4166-WEDNXN-5RK",21,25,16,0,"Male",1,"Service","Unmarried","No","No",4,"No",9,1965.6,3,0.77004,9.2,31000,"Yes",2.08196,"Domestic","Own",2,16000,"No",1,0,1,0,6,"No","Yes","No","Yes","Yes","No",17,"Yes","No","No","No","No",0,0,0,0,"No","No","No",13,5,"No","No",14.25,47.55,"No","Disc","No",2.852,218.4,8000,2,0,-0.576404976434202,-0.421561662771884,-0.67496879209335,-0.429047812098598,-0.504288342313397
"50","4643-WSLHBV-DM5",53,29,21,19,"Male",1,"Service","Unmarried","Yes","No",1,"No",12,10103.4,30,15.456984,9.4,284000,"Yes",11.239016,"Domestic","Own",2,92400,"Yes",3,2,0,0,2,"Yes","Yes","Yes","Yes","No","Yes",13,"Yes","Yes","Yes","Yes","Yes",57.05,2716.6,0,0,"No","Yes","Yes",48,2,"Yes","Yes",40.05,661.55,"Yes","Disc","Yes",26.696,841.95,46200,4,4,2.74759289500581,2.29231554020502,-0.0478949881914029,4.139593766924,3.38458245169905
